#台羅	漢字（按次數）
phui3	屁 㵒 唾 呸 㕻 怫 吐 啡 吥 艴
phuinn5	搇 撳
phun1	奔 潘 賁 䊩 錛 𤄜 歕 吩 僨
phun2	翸 奮 畚
phun3	噴 蕡 濆 吩 湓
phun5	盆 湓 文 㖹
phut4	刜 怫 勃 鏺 咈 哱 朏 彿
phut8	咈 𧿳 餑 噗 荸 怫 薺
pi1	悲 卑 啡 碑 埤 陂 螕 蜱 蓖 裨 琲 椑 屄 庳 鵯 紕 俾 觱 笛 邊 冰 逼 鎞 箅 砒
pi2	比 彼 匕 俾 妣 愎 壁 沘 腷 睥 鄙 庳 臂 秕 拂 狴 閉 㓖 裨 篦 觱 髀 𩭓 嗶 斃 跛 併 埤 婢 避 庇 辟 賁 濞 否 敝 並 畀 泌 蔽 愊 潷 璧 襞 媲 佊 毗 庀 仳 鱉 鬚 躃 𠫍
pi3	祕 痺 庇 秘 臂 閉 泌 賁 費 跛 轡 濞 毖 痹 鉍 嬖 篦 淠 霸 卑 詖 畀 芘 皕 箅 篳 媲 啞
pi5	脾 埤 裨 枇 毗 琵 比 蜱 啤 笛 皮 鼻 荸 庳 紕 鎞 蚍 郫 貔 平 棚 沘 媲 鈹 陴 鼙 仳 闍
pi7	被 備 避 婢 比 埤 薜 辟 俾 弊 贔 濞 鼻 幣 鞴 畀 髀 庳 僻 鞁 糒 鐾 陛 駜 骳 篦 劓
pia3	拚
pia7	卵 脬
piah4	壁 炮 崖 璧
piak4	爆 煏 逼 語 迸 擗
piak8	爆 𠸢 噼 逼 白 煏
pian1	編 邊 鞭 扳 砭 攀 便 扁 煸 蝙 鯾 鯿 籩 蹁 變 拼 犏 踟
pian2	諞 貶 匾 扁 褊 變 辮 蝙 稨 釆 徧 辯 騙 砭 萹 碥 緶 便 辨 萟
pian3	變 遍 徧 半 窆 𥦁
pian5	便 駢 褊 胼 楩 桳 跰 緶 蹁
pian7	便 辯 辨 拚 弁 卞 忭 辮 抃 汴 面 辦 編 釆 苄 昪 緶
piang1	梆 砰 冰
piang3	乓 迸 砰 弸 併 唪 𨅘 磅 乒
piang5	砰
piann1	捠 兵 抨 拼
piann2	餅 丙 拚
piann3	拚 摒 拼 併 迸 傾 並 并 睖
piann5	平 盤 抄 鐧
piannh4	壁 𢯩
piat4	別 撇 憋 癟 龞 白 䘷 蹩 差 瞥 嫳
piat8	別 白 癟 瘦 彆 蹩 襒 鱉
piau1	標 摽 驃 表 臕 麃 鏢 勺 杓 髟 猋 飆 鑣
piau2	表 婊 摽 俵 鰾 莩 鈀 裱 殍 沛 錶
piau3	俵 掆
piau5	盛 描
piau7	摽 鰾
pie1	憋 龞 鱉
pie2	彆 別
pie5	別 蹩
pih4	鱉 撇 龞 䘷 逼 鼈 撆 別 僻 弼 憋 鼉
pih8	熚 嗶 畢 腷 龞 笛 𠸢 撇 鱉
pik4	迫 逼 百 伯 柏 煏 佰 壁 泊 濼 擘 腷 班 舶 躄 㓦 辟 愊 愎 璧 襞
pik8	白 帛 舶 愎 擗 踣 鮊 別 漂 鉑 煏 啪 皕 蓖 甓 默 晣
pin1	賓 檳 彬 儐 份 貧 瀕 斌 濱 砰 蠙 繽 汃 邠 豳 榔 扁 糞 擔 浜 攽 鑌
pin2	箄 簈 揙 稟 屏 扁 㬮 牝 摒 編 鬢 箅 篦 儐 臏
pin3	鬢 篦 乒 殯 擯 乓 儐 砰 編 併 凭 賓 臏 髕 櫛 鏂
pin5	貧 屏 憑 蘋 頻 瀕 凭 顰 馮 嬪 音 民 濱 臏 瓶
pin7	嬪 牝 臏 髕 面 貧
ping1	兵 冰 栟 并 繃 崩 帡 祊 𥛱 檳 屏 拼 病 浜 㧍 槟
ping2	反 屏 丙 併 秉 摒 頂 餅 迸 帡 抦 邴 炳 變 病 返 並 并 怲 稟
ping3	併 並 柄 迸 并 拚 枋 鏰 秉 拼 蹦 怲 抦 邴 摒
ping5	平 爿 朋 旁 屏 蘋 便 馮 鬅 秤 明 棚 帡 堋 硼 蟛 枰 拼 憑 友 坪 凭 抨 鵬 瓶
ping7	並 病 併 并
pinn1	邊 鞭 繃 拼 連 臨 畢 平 旁 文 身 拍 編 㧍 崖 辮 䰖
pinn2	扁 鯿 藊
pinn3	變 柄 文 魍
pinn5	平 棚 坪 文 邊 纏 崖 鞭 鐋
pinn7	病 辮 編 文 漳 變 根 想 避 淋
pinnh8	知
pio1	鏢 標 摽 臕 鑣
pio2	表 錶 俵 裱
pio3	裱
pio7	鰾 䱪
pioh4	咬
pior2	拽 娶
pit4	筆 必 畢 伯 嗶 㓖 潷 蓽 觱 篳 蹕 襞 榻 皴 逼 怭 泌 苾 駜 㩺 𤿎 鼈
pit8	鼻 佛 拂 辟 必 怭 弼 擗 闢 嗶 苾 茀 劓
piu1	彪 髟
png1	楓 幫 方 傍
png2	榜 本 搒
png3	飯 琊
png7	飯 飰 傍 字 旁 蒸
pngh8	嗙 獐
po1	玻 褒 菠 飛 嶓 保 煲 般 廈 刀 波 頗 弄 皤
po2	保 寶 堡 廈 煲 葆 褓 鴇 暴 爸 跛 報 呆
po3	報 播 簸 倚 嶓 褙 掖
po5	婆 無 鄱 皤 阪 繁 蘤
po7	暴 部 瀑 薄
poh4	卜 薄 博 駁
poh8	薄 箔 泊 鉑 輕 菲
pok4	卜 暴 駁 爆 北 剝 蹼 博 襆 烞 噗 餺 搏 鎛 鉳 齙 泊 駮 欂 炮 釙 濮 燖 嚗
pok8	薄 僕 泊 蔔 爆 剝 簿 踣 縛 鉑 箔 礡 亳 匐 噗 暴 菔 膊 貝 瀑 曝 醭 幞 蘿 僰 欂 炮 鞄 雹 礴 濮 鏷 牧
pong1	菶 幫 峂
pong2	榜 傍 髈 氆 搒 綁 嗙
pong3	謗 嗙 唪 磅 着 乓 徬 蹦 蒡 肨 怦 𪹚
pong5	旁 房 膀 蓬 彷 傍 滂 雱 螃 磅 徬 鈀 馮 蒡 唐 鬅 坊 搒 棚 髈 鎊 盲
pong7	磅 蓬 傍 皇 碰 鎊 旁 鬅 音 棒 膀 塝 泵 唪 掽 峒 𪹚
poo1	晡 埔 夫 蜅 埠 脯 丈 逋 餔 枯 蜻 痡
poo2	補 保 斧 脯 捕 布 夫 某 裨
poo3	布 播 報 佈 怖 傅 機 部 貝 毋 鈽 磻 阜
poo5	袍 脯 蒲 模 房 苞 蜅 匍 莆 紨 裒 酺 暴 抔 葡 苻 蒱 步 紕 逋 餔 掊 錇 菩 蚨 帑
poo7	步 部 哺 埠 捕 擘 布 餔 瓿 暴 酺 蜓 阜 跈
pooh8	薄
por1	般 啵 波 薄 剝 癶 玻 菠 餑 煲 這
por2	從 簸 擘 北 播 柏 檗 薜 掰 鉳 煲
por5	泊 膊 百 脖 餺 魄 柏 蔔 薄 白 荸 舶 鉑 箔 僰 踣 鋍 襏 鵓 簿 脯 粕 礴 飥 笮
por7	管 部
pu1	哹 埔
pu2	不 布 步 埔 簿 埠 哺 舞 瓿
pu3	富 婦
pu5	匏 垺 炰 炮 不 泡 烰 醭 浮 抔 脬
pu7	婦 孵 菢 哹 浡 脬 孚 𥦸
pua1	搬 揻
pua2	徙 簸
pua3	簸 貝
pua5	盤
pua7	拌 拂
puah4	撥 鉢 缽 跋 鈸 癶 博 盔
puah8	跋 博 鈸 拔 九 簙 撥 稨 卜 㨻
puan1	般 搬 語
puan3	半 絆 拌 靽
puan5	盤 槃 蟠 磐 磻 蹣
puan7	拌 叛 畔 伴 調 鋬
puann1	般 搬
puann2	魬 坂 半 絆 拌
puann3	半 絆 徧 掩 靽 陽 𥦁
puann5	盤 蹣 拌 磐 搬 枰 翻 徙 抄 徑 鏊
puann7	拌 拂 半
puat4	鉢 撥 醱 缽 襏 般 癶 蹳 鱍 砵
puat8	拔 跋 菝 鈸 茇 魃 鼥
pue1	飛 杯 桮 菠 𤖯 棓 筶 不 碑 泉 鎞 胚 盃 箆
pue2	㧳 扒 掰 捭 掊 輩 背
pue3	輩 貝 背 褙 唄 垻 倍 佩 鋇 珮
pue5	陪 培 賠 棓 菠 掊 踣 坏 裴 錇 俳 徘 毰
pue7	背 倍 佩 焙 悖 棓 怫 狽 北 拔 孛 珮 邶 碚 蓓 飛 𣍐 未 培 瑁
pueh4	八 捌 漳 嚴
pueh8	拔 飲 怕 廈 啉
puh4	發 暴 勃 浡 窋 哱 沸 鰾 茁
pui1	拔
pui3	痱 疿 沸 秉
pui5	肥 壅 氨
pui7	吠 拽 蜚
puih8	拔
puinn2	并
puinn7	飯 吆
puinnh4	軂
pun1	分 奔 貧 錛 扁 糞 本 歕 份
pun2	本 畚 苯 墳 分 糞 笨
pun3	糞 畚 扒 氹 掃 坋
pun5	歕 噴 㖹 湓 吹
pun7	笨 坌 桳 倴 𥢊 奔 夯 坋 岔 㤓
put4	不 抔 扒 柫 佛 拂 遒 物 吥 哱 桲 殊 紼
put8	佛 勃 桲 物 荸 鵓 不 渤 怫 鈸 餑 孛 浡 脖 身 鋍 祀 艴
sa1	挱 沙 抄 挲 撒 捎 砂 柵 相 紗 柴 捒 鯊 痧 裟 莎 三 搔 𩡾 蟟
sa2	洒 颯 趿 灑 傻 音 捒 耍 撒 纚
sa3	嗄 唦 圾 曬 廈 沙 咦 厦
sa7	嗄
sah4	煠 煞 捒 渫 喢
sah8	煠 渫 音
sai1	西 司 師 獅 腮 私 塞 思 揌 犀 螄 鰓 房 撒 篩 奶 䤝 崽 毸 㩙
sai2	屎 使 駛 滓 史 賽 礐 拽
sai3	賽 婿 使 壻 塞 殺 儉 曬 鎩
sai5	饞
sai7	似 祀 事 姒 撒 侍 娰 使 婿 仕
sak4	捒 數 速 搠 摔 拺 殺 槊 朔 鷟 矟 蒴 箾
sam1	三 杉 參 摻 衫 舢 毿 穇 𩁺 森 鬖 蔘 䀐 芟 釤 仨
sam2	糝 散 摻 撒 啥 參 𣯶 掖
sam3	散 鬖 毿 𣯶 三 訕 掃 森 臢 𢚗 釤 𢕕 糝
sam5	饞 儳
sam7	𢕕 散
san1	山 星 刪 猻 三 零 𨥉 𦘹 衫 舢 訕 珊 姍 跚 潸 㾪 濼 喪 芟 鏥 仨
san2	產 㾪 散 瘦 三 滻 鏟 分 丳 羼
san3	散 訕 傘 鏾 汕 疝 搧 線 布 鬖 霰 赸 饊
sang1	鬆 雙 喪 樣 松 桑 瀧
sang2	爽 摤 喪 搡 送 樣 礡
sang3	送 葬 摤
sang5	像
sang7	同 送
sann1	相 衫 三 參 字 罵 合 兩 緣 軀 熨 嫳 謄 葛 絳 彊 裯 𥼶 仨
sann2	字 甚 讀 啥 相
sann3	衫
sann5	承 啥 喢
sann7	甚
sannh4	趿 喢 靸
sannh8	喢
sap4	圾 雪 颯 霎 屑 鈒 霅 靸 趿 捒 虱 喢 攕 歃 卅
sap8	霎 屑 煠 霅 唼 卅 閘
sat4	殺 虱 塞 煞 雪 薩 撒 蝨 櫛 捒 鎩 潵 圾 菩 剎 酚 姍 摋
sat8	薩
sau1	颼 誚 沙 𤺊 嘲 梢 搔 嘶 騷 脆 捎 俏 鞘 脩 鬆 稍 蛸 筲 艄 臊 啞 販 繰 廝 繅 㡑 弰 旓 髾 獀
sau2	臊 稍 掃 嗽 潲
sau3	掃 嗽 哨 艄 稍 地 舵 捎 潔 梢 旓 潲
saunnh8	礉
se1	西 紗 梳 沙 蔬 疏 砂 裟 生 旋 疎 泉 魦 方 酥 洒 混 棲 樨 鯊 栖 䰖
se2	洗 黍 所 洒 勢
se3	細 勢 世 稅 說 誓 洒 賽 撒 婿 壻 貰 生 數 跩 媲 赦 逝 杖
se5	垂 文 褯 腄
se7	垂 逝 誓 視 旋 𤺔 筮 諡 拽 噬 澨 尋 𤆬 迣 褯 謚
seh4	雪 說 塞 踅 刷 揳 屑 旋 㩙 漳 文 霎 楔
seh8	踅 旋 雪 褯 說 塞
senn1	生 牲 眾 細 併
senn2	省
senn3	性 姓 生 百 名 細 勢 連 賁 佟
senn7	文
si1	絲 詩 施 西 司 屍 私 思 鷥 蓍 撕 尸 是 書 螄 想 吸 斯 俬 蹊 澌 音 語 希 裼 噝 葹 鳲 相 析 示 夕 膝 蟋 稀 嘶 𥉐 須 晰 翎 熹 唏 廝 栖 胥 臾 欷 晣 穸 鸂 歙 絁 溮 㕧 窸 緇 凘 颸 巂
si2	死 始 豕 細 徙 弛 隙 屎 矢 四 郤 是 文 拚 併 世 夕 繫 屣 怕 磻 愾 鬩 盻 鰓 汐 佌
si3	四 世 勢 示 施 氏 庶 試 弒 是 時 思 斯 𢗗 誓 忕 肆 駟 方 絲 連 死 壁 捎 致 適 至 疋 傅 絮 蝸 翅 薛 啻
si5	時 辭 匙 息 提 隰 鰣 裼 臨 塒 蒔 是 絲 底 惜 熄 媳 鍉 徐 茌 溡 茬 覡
si7	是 示 視 序 氏 寺 侍 豉 嗜 敘 謚 市 畤 適 似 恃 峙 時 鈀 睛 逝 汜 泉 在 速 伺 緒 舐 諡 嗣 褆 誰 耜 噬 蒔 柹 鈰 笥 覗
sia1	賒 奓 畬 聲 蝦 奢 下 瞎
sia2	寫 字 捨 甚 下 舍 啥 嚇 讀 襾 施 罅 暇 婀
sia3	卸 赦 舍 瀉 字 甚 削 厙 讀 啥 捨 鐋
sia5	邪 斜 洽 呷 蛇 鉈 闍 黠 畬 佘 陜 豺 轄 峽 挾 匣 俠
sia7	社 射 謝 麝 石 𣛮 㓔 厙
siah4	削 錫 穡 嗇
siah8	杓 席 石 勺 削 夕
siak4	摔 捒 鑠 皙 䞽 削 爍 拺 𨄮 晢
siak8	碩 矽 捒
siam1	苫 纖 䀐 心 覘 閃 痁 參 蘞 錟 殲 瞻 䀡 韂
siam2	閃 陝 甚 剡 字 㨛 劖 鿃 巉 睒
siam3	滲 沁 掞 苫
siam5	尋 禪 蟾 撏 簷
siam7	贍 掞 剡 字
sian1	先 仙 鮮 身 𦘹 𨥉 生 山 躚 伸 潔 掀 珊 鉎 音 薟 宣 褊 涎 褼 垢 纖 羨 鍁 羶 銹 姍 埏 鏥
sian2	癬 錢 線 洗 鮮 羨 陷 見 縣 餡 限 蜆
sian3	搧 扇 煽 先 線 嬗 騸 設 紕 訕 繕 綫 䤼 霰
sian5	蟬 禪 鹹 單 涎 澶 賢 嬋 唌 音 閑 弦 𡢃 閒 銜 咸 嗛 癇 嬗
sian7	善 𤺪 嬗 羨 禪 蟮 單 倦 撣 繕 墠 腎 墡 鄯 鱔 癉 擅 膳 現 憚 僤 篤 鱣 蟺 羡
siang1	雙 相 香 傷 商 双 湘 鑲 想 蕡 像 泉 鄉 量 殤 緗 襄 觴
siang2	相 想 向 像 上 賞 嚮 項 筒
siang3	相 向 惝 摔
siang5	像 詳 誰 翔 祥 𫝛 庠 常 裳 降 瘍
siang7	像 上 尚 象 共
siann1	聲 文 兄 咯 嚶 㨻
siann2	字 甚 讀 啥 寫 捨
siann3	字 聖 甚 啥 炒
siann5	城 𩛿 成 誠 誘
siann7	盛 𣛮
siap4	澀 塞 攝 𩐅 屧 懾 澁 炸 楔 涉 泄 霎 揳 歙
siap8	涉 攝 拾 葉 揲 𣶏 洩 沁
siat4	設 削 洩 褻 屑 捎 契 紲 薛 體 赤 渫 泄 揳 跬
siat8	舌 折 揲 摺 踅 忕 咋
siau1	消 銷 燒 簫 蕭 削 捎 稍 宵 蛸 梢 硝 瀟 哮 痟 囂 箾 一 音 枵 拍 小 俏 𪁎 栓 鴞 霄 韶 氨 逍
siau2	小 少 痟 𤞚 酵 笑 鞘 讀 帳 校 賬 狂 肖 䝟 嬲 臉
siau3	數 笑 帳 賬 少 色 誚 肖 鞘 想 算 峭 簿 俏 譙 哨 劭
siau5	精 學 淆 韶 音 苕 迢 誚 髫 𦯐 㞞
siau7	紹 㩋 召 捎 劭 卲 邵 潲
sie1	挾 楔 揳 些
sie2	渫 薤 洩 蟹 楔 屑 謝 泄 卸 灺 邂 獬 廨
sie5	鞋 挾 頡 斜 邪 諧 協 擷 鮭 纈
sih4	閃 熄 蟋 熠 顫 晰 絲 息 薛 適 蝕
sih8	蝕 𢗗 嘻
sik4	色 適 識 式 飾 熟 室 息 釋 索 析 稷 塞 瑟 螫 宿 穡 蟋 嗇 襫 粟 昔 栻 悉 拭 惜 膝 液 媳 哳 漱 槭 抶 軾 奭 𥼶 體 文 老 白 藍 錫 席 淺 失 賁 措 碩 蝨 腊 轖 适 薔 蜥 窨 碏 晢 濇 璱 涑 蜴 蕮
sik8	熟 席 夕 碩 石 射 食 色 稙 鼫 植 熱 殖 式 蝕 贖 妬 寔 褯 鍚 晣 穸 炻 湜
sim1	心 芯 森 參 身 新 啿 思 滲 婦 咧 深 悸 京 穎 媳 淰 蔘 砑 沁 䀐 鄩 篸 媕
sim2	審 甚 沈 伈 覃 哂 瀋 諗 讅 字 嶄 嬸 瘮
sim3	㔤 啿 滲 趛 𢭞 甚 吢 沁
sim5	尋 鐔 鱘 蟳 湛 葚 撏 蟫 潯 忱 諶 心 覃 愖 黮 燖 鄩 蕈
sim7	甚 愖 字 啿 滲 蕈
sin1	身 新 申 薪 辛 先 娠 伸 紳 生 心 鋅 信 莘 芯 呻 親 噷 珅 㛛 婦 赤 荏 忻 騂 氠 甡 詵 燊 駪
sin2	信 矧 芯 哂 囟 釁 蕈 圬
sin3	信 訊 迅 汛 囟 性 生 芯
sin5	神 臣 蠅 承 辰 晨 尋 丞 繩 宸 眩 澠 漬 猌
sin7	慎 剩 乘 腎 蜃 順 贐 燼 信 甚 勢 藎 脤
sing1	生 身 先 升 星 牲 聲 猩 笙 昇 甥 勝 惺 旌 陞 僧 腥 鉎 嵩 成 興 軀 𩛿 醒 箵 胜 鼪
sing2	省 興 性 行 醒 㾪 幸 擤 倖 眚 杏
sing3	性 勝 姓 聖 命 蓳 父 政 省 氣 乘 傅 胜 氨
sing5	成 誠 承 乘 行 形 神 盛 城 繩 丞 蠅 𩛿 澠 宬 榺 刑 侗 鋮
sing7	盛 乘 剩 倖 誠 成 勝 恿 嵊 先 殺 幸 阱 賸 慂
sinn1	生 牲 茲 文 斯 眾 鉎 併 養 惺 敊
sinn2	性 閃
sinn3	性 姓 扇 百 生 搧 連 賁 佟
sinn5	豉 鹽 鹼 䜻
sinn7	豉 鹽 敊 浸 䜻 漬 敉
sinnh4	閃
sinnh8	㗭 嘻
sio1	相 燒 稍 熱 小 肖 暖 同 淬 晴 烙 愒 遒 燖
sio2	小 少 稍 可 雙 文 鎖 許 學 嬲 鞈
sio3	鞘 勺
sio5	𦯐 仯 常
sio7	俗 卲 邵 音 肖
sioh4	惜 液 誚 勺 嫪 𫟊
sioh8	澤 俗 𦯐 芍 䭞 削 屬 液 鼉 勺 𫟊
siok4	肅 宿 縮 叔 淑 菽 削 粟 蓿 鑠 夙 鷫 俶 驌 謖 倏 涑 續 俗 束 斣 爍 踧 嗖 僳
siok8	俗 屬 續 斣 熟 贖 蜀 塾 芍 藚 鐲 孰 司 賤 杓 屏 爍 勺 淑 䟉 擉 氨
siong1	相 傷 商 湘 襄 殤 嵩 葙 觴 想 上 箱 湯 鑲 廂 驤 娀 凇 將 舂 賈 淞 緗 墒 勷 菘
siong2	想 賞 上 相 尚 償 悚 鯗 嘗 竦 聳 晌 像 慫 垧 㩳
siong3	相 像 上 尚 注 儐 餉
siong5	常 詳 裳 松 償 祥 翔 嘗 嫦 瘍 淞 𣻸 庠 徜 吉 試 痒 鱨 凇 菘 崧
siong7	上 象 像 尚 訟 誦 相 頌 橡 兒 漳
sionn1	傷 箱 鑲 相 廂 想 香 籠
sionn2	賞 鯗 想
sionn3	相 肖 尚
sionn5	𣻸 承 瘍 庸
sionn7	想 尚 聖
siorh4	削
siorh8	杓
sip4	失 濕 溼 隰 澀 啃 十 習 霎 湒 褶 濇
sip8	習 拾 十 襲 什 褶 石 實 字 蝕 熠 慴 𣶏
sir1	相
sir5	伸
sir7	事 嗯 𠮾
sit4	失 式 息 穡 熄 室 識 蝕 瑟 食 石 實 別 膝 典 蟋 蝨 軾 悉
sit8	實 食 植 習 翨 翼 席 殖 蝕 翅 朴 寔 蕃 兒 息 夕 侗 埴 湜
siu1	收 修 羞 饈 石 受 蓨 咻 徵 脩 搜 溲
siu2	守 首 手 艏 秀 繡 狩
siu3	獸 秀 繡 宿 守 狩 袖 受 首 饈 綉
siu5	泅 仇 酬 囚 讎 售 酋 鮂 銶 軀 監 醜 𣻸 咻 犨
siu7	受 壽 巢 宿 授 岫 綬 讀 氣 妻 售 袖 褎
siuh4	驌 咻
siuh8	驌 咻
siunn1	傷 箱 鑲 相 廂 漳 想 授 籠 葙
siunn2	賞 鯗 想 肖
siunn3	相 肖 尚 充
siunn5	𣻸 庸 常 承 瘍
siunn7	想 尚 聖 上
sng1	酸 霜 桑 痠 栓 閂 喪 孫 孀 傷 拴 氨
sng2	損 耍 爽 傸 榫 繏 算
sng3	算 繏 蒜 數 損 徑
sng5	床 甑 旋 牀 籠
sng7	算
sngh4	嗅 吮 䶋 歙
sngh8	吮 蹭
so1	挱 搔 梭 唆 搜 搓 騷 挲 嗦 臊 莎 艘 瘙 娑 抄 蓑 縒 繅 睃 桫 索 擦 肖 蒐 繰 螋 鎪 餿
so2	鎖 嫂 色 瑣 圾 塞 叟 瘦 繰 澁 哨 嗩
so3	燥 掃 躁 埽 噪 䐝 扒 脞 氹 焦 氣 譟
so5	趖 脞 踆 𫐩 𢔳 𩡾 逡
so7	唆 搔 嗦 嗾
soh4	索 束 嗍 說 繩 噌 笮
soh8	旋 踅 索 鐲 鋉
sok4	束 速 數 縮 朔 槊 肅 索 宿 觫 塑 簌 箾 嗽 矟 蒴 蔌 餗 汆 謖 搠 涑 溯
sok8	槊 菾
som1	參 森 蔘
som7	𢕕 坔 搡
song1	喪 鬆 霜 桑 瀧 孀 鸘 參 雙 礵 鷞 驦 松
song2	爽 顙 搡 嗓 磉 悚 慫 蹌 鷞 驦 鸘 竦 㩳
song3	宋 喪 送 俕 散
song5	倯 庸 松 俕 傖
song7	搡
soo1	酥 疏 蘇 蔬 搜 蒐 沙 舒 艘 廋 螋 梳 颼 搔 疎 穌 筲 溲 鎪 甦 束 挱 繰 繅 獀 嗖 餿 𤼀
soo2	所 擻 藪 數 叟 嗾 瞍 瘦 沙 訴 蘇 廋 嫂 籔 素 鎖 埤 速 遒 繓 嗖
soo3	數 素 訴 塑 疏 嗽 溯 漱 愬 朴 愫 嗉 塐 幾 算 嗾
su1	書 輸 私 思 需 師 軀 斯 司 舒 伺 須 酥 事 樞 廝 嘶 緦 罳 文 篩 獅 蘇 鬚 螄 囌 鷥 胥 湑 灑 溮 姝 紓 虒 偲 颸 釃 笥 相 想 身 序 腮 疋 鷈 鼉 頹 傅 荼 噝 俬 鰓 撕 臾 繻 糈 諝 藇 銖 蒒 毹 凘 澌 覗
su2	使 史 暑 死 署 駛 訴 黍 墅 麈 素 簌 粟 嘶 曙 思 屎 鼠 疋 蓿 嗦 豕 驌 謖 湑 糈 諝 嗉 窣 癙 鷫 佌 溯
su3	思 四 賜 庶 使 絮 肆 泗 麈 恕 颸 駟 覗 次 方 似 㖅 恣 戍 呬 素 吸 伺 舒 疋 鼉 囌 噓 腧 澍 䉀 繓
su5	詞 辭 殊 嗣 蜍 祠 俗 徐 鉏 殳 薯 囌 漦 余 銖 茌
su7	事 士 序 思 緒 祀 似 嶼 敘 伺 仕 樹 殊 食 嗣 曙 豎 署 耜 兕 俟 姒 飼 巳 墅 芧 侍 漵 抒 汜 涘 笥 四 司 情 沛 師 閃 吮 藇 鱮 戍 裋 澍 覗 嵩
sua1	沙 砂 痧 鯊 𩡾 施 煞 徙 拖 山 刷 紗
sua2	徙 漱 耍 散 文 勢 續
sua3	續 世 勢 線 散 煞 音 撒 纚 遂
sua7	逝 速
suah4	煞 撒 刷 息 殺
suainn5	檨
suainn7	檨
suan1	宣 旋 酸 栓 珊 訕 暄 閂 狻 喧 萱 諼 痠 咺 朘 揎 瑄 讀 布 斡 吊 渲 拴 晅 烜
suan2	選 拶 算 蒜 揀 撰 涮
suan3	蒜 算 繏 渲 選 撰 涮
suan5	旋 漩 鏇 璇 璿 船 琁 㧦 遄 篅
suan7	璇 訕 羨 鑽 漩 鏇 旋 檨 𥖄 踹 渲 琁
suann1	山 文 坪 樂 崖 屯 狻
suann2	散 產 線
suann3	線 散 傘 腺 汕 文 續 叩 涼 䤼 霰
suat4	說 刷 雪 鱈 踅 蜇 煞 率 涮 拶
suat8	踅
sue1	衰 梳 蔬 疏 酥 洗 蓑 縗
sue2	洗 黍
sue3	細 稅 說 歲 帥 帨 率 穢 杖 甩 繐
sue5	垂
sue7	垂 涶
sueh4	說 塞 會 刷 楔
suh4	吸 嗍 速 士 斯 欶 嗽 台
suh8	吸 仔
sui1	雖 衰 綏 荽 蓑 𩮴 𦉎 嘴 縗 朘 挼 眭 睢 水 尿 穗 萎 緧 莞 遒 芫 鏙 蕤 簑
sui2	水 美 髓 鬌 媠 蛙 嫷
sui3	粹 碎 誶 睡 睟 祟 帥 邃
sui5	隨 垂 誰 葚 隋 陲 箠 錘 是 棰 𩮴 遂 圌
sui7	穗 𤻄 瑞 遂 睡 燧 祟 隧 垂 術 半 隨 莆 戍 繐 邃 襚
suinn1	酸
suinn2	水 損
sun1	孫 猻 飧 蓀 恂 珣 荀 搎
sun2	損 榫 筍 恂 笋 簨 戰 芛 隼 盾 孫 吮 噀 栒
sun3	遜 舜 順 巽 瞬 噀 孫 濬 蕣
sun5	純 巡 馴 循 旬 紋 醇 詢 紃 徇 郇 淳 鶉 孫 唇 峋 洵 栒 蓴 錞 脣 順 倖 惇 殉 恂 珣 荀
sun7	順 殉 船 循 徇 文 楯 吮 舜 𦧊
sut4	屑 摔 率 蟀 捽 戌 術 恤 卹 窣 瞬 糏 㗭 㖅 帥 音 朮 訹 睟 囌 甩
sut8	術 述 㖅 訹 朮 秫 囌 沭 鉥 㗭 遹
ta1	乾 焦 礁 丈 枯 凋 潐 奈 大 奓 搭 嗒 噠 噍 碉 瘩 都 獨 姑 堅 讀 挓 啁 今 達 夫 答 耷 褡 鎝 咑 腊 亁 赸
ta2	大 底 那 打 落 哪 何 丈 咑 𨚗 䃎
ta3	罩 帳 奓 吒 托 鬦 咤
ta5	焦 奈 疊 沓 怛 朷 墶 瘩 達 搭 𣸉 搽 乾 茶 鎝 韃 劄 垞
ta7	大 奈 丈 力 咑
tah4	搭 答 貼 打 嗒 褡 讀 瘩 鎝 撘 跡 值 粘 塔 咑 疸
tah8	踏 值 蹅 搭 沓 蠢 繨 䟜 蹋
tai1	呆 獃 懛 待 大 呔 儓 𠯪
tai2	滓 歹 待 帶 傣 襶 大 代 袋 逮 滯 瑇 䒫 紿 駘 盞 㖠
tai3	戴 帶 事 載 襶 遞 蒂 代 褦 貸 蹛 螮
tai5	台 臺 埋 坮 𧉟 檯 炱 薹 苔 駘 來 擂 柵 儓 讀 刣 灣 奈 朴 詒 鼉 跆 鮐 擡 抬
tai7	載 事 大 代 第 待 戴 逮 怠 貸 在 舵 玳 𦨮 黛 治 奈 岱 殆 靆 但 袋 甙 迨 埭 紿 駘 乜 情 汰 瑇 謄 汏 䒫 侗 𩻸 鮘
taih8	耙 䎱
tainn2	歹 宰 短 纏 剁 咍 刐
tainn3	店
tainn7	大
tainnh8	耙
tak4	觸 啄 琢 斲 篤 𢬳 焯 厾 獨 椓 桌 剟 卓 倬 諑
tak8	逐 碡 獨 蔔 濁 毒 擢 答 碌 濯
tam1	擔 耽 嘗 酖 眈 躭 聃 湛 儋 啖 誔 噉 坍 担
tam2	膽 返 打 胆 點 抌 啖 噉 萏 窞 餤 禫 䪴 黮 葚 䒞
tam3	站 䪴 淡 擔 頓 石 店 頕 檐
